Id,DocNumber,TxnDate,Currency,PrivateNote,TotalAmt,LineId,Description,Amount,PostingType,AccountId,AccountName,DepartmentId,DepartmentName
9134,2698,2026-01-08,CAD,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,0,0,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,2480.0,Debit,100,Other current receivables:Accounts Receivable - Credit Card,1,General operating fund
9134,2698,2026-01-08,CAD,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,0,1,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,36229.44,Debit,93,Pledges receivable:Current Year Pledges Receivable,1,General operating fund
9134,2698,2026-01-08,CAD,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,0,2,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,35284.4,Credit,129,Contributions and pledges:Campaign Pledges,1,General operating fund
9134,2698,2026-01-08,CAD,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,0,3,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,2480.0,Credit,132,Contributions and pledges:Campaign Cash,1,General operating fund
9134,2698,2026-01-08,CAD,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,0,4,@work - City of Saskatoon 2025 Campaign - 2026-01-08 - SCRM Env 12186,945.04,Credit,120,Deferred revenue:Def. Rev. Donor Dir. Giving 2025,1,General operating fund
9133,2697,2026-03-25,CAD,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,0,0,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,175.0,Debit,100,Other current receivables:Accounts Receivable - Credit Card,1,General operating fund
9133,2697,2026-03-25,CAD,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,0,1,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,4915.04,Debit,93,Pledges receivable:Current Year Pledges Receivable,1,General operating fund
9133,2697,2026-03-25,CAD,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,0,2,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,4915.04,Credit,129,Contributions and pledges:Campaign Pledges,1,General operating fund
9133,2697,2026-03-25,CAD,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,0,3,@work - Affinity Credit Union 2025 Campaign - 2026-01-08 - SCRM Env 12167,175.0,Credit,132,Contributions and pledges:Campaign Cash,1,General operating fund
9131,2696,2026-01-07,CAD,@work - UWSA 2025 Campaign - 2026-01-07 - SCRM Env 12124,0,0,@work - UWSA 2025 Campaign - 2026-01-07 - SCRM Env 12124,16145.28,Debit,93,Pledges receivable:Current Year Pledges Receivable,1,General operating fund
9131,2696,2026-01-07,CAD,@work - UWSA 2025 Campaign - 2026-01-07 - SCRM Env 12124,0,1,@work - UWSA 2025 Campaign - 2026-01-07 - SCRM Env 12124,16145.28,Credit,129,Contributions and pledges:Campaign Pledges,1,General operating fund
7554,2609,2025-09-30,CAD,Aug to Sept 2025 IRCC Claim Period 2 - Record IRCC Deferred Revenue as earned per reporting to IRCC,0,0,Aug to Sept 2025 IRCC Claim Period 2 - Record IRCC Deferred Revenue as earned per reporting to IRCC,19184.0,Credit,1150040014,Other income:IRCC Government Funding,,
7554,2609,2025-09-30,CAD,Aug to Sept 2025 IRCC Claim Period 2 - Record IRCC Deferred Revenue as earned per reporting to IRCC,0,1,Aug to Sept 2025 IRCC Claim Period 2 - Record IRCC Deferred Revenue as earned per reporting to IRCC,19184.0,Debit,124,Deferred revenue:Deferred Revenue - general,,
7553,2608,2025-07-31,CAD,April to July 2025 IRCC Claim Period 1 - Record IRCC Deferred Revenue as earned per reporting to IRCC,0,0,April to July 2025 IRCC Claim Period 1 - Record IRCC Deferred Revenue as earned per reporting to IRCC,21862.0,Credit,1150040014,Other income:IRCC Government Funding,,
7553,2608,2025-07-31,CAD,April to July 2025 IRCC Claim Period 1 - Record IRCC Deferred Revenue as earned per reporting to IRCC,0,1,April to July 2025 IRCC Claim Period 1 - Record IRCC Deferred Revenue as earned per reporting to IRCC,21862.0,Debit,124,Deferred revenue:Deferred Revenue - general,,
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,0,"February 28, 2026 Payroll",9677.75,Debit,209,Operations:Salaries and benefits:Salaries,1,General operating fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,1,"February 28, 2026 Payroll",11986.97,Debit,209,Operations:Salaries and benefits:Salaries,1,General operating fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,2,"February 28, 2026 Payroll",14978.54,Debit,209,Operations:Salaries and benefits:Salaries,1,General operating fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,3,"February 28, 2026 Payroll",3376.66,Debit,209,Operations:Salaries and benefits:Salaries,22,IRCC Project Fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,4,"February 28, 2026 Payroll",532.7,Debit,209,Operations:Salaries and benefits:Salaries,22,IRCC Project Fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,5,"February 28, 2026 Payroll",914.24,Debit,210,Operations:Salaries and benefits:Benefits,1,General operating fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,6,"February 28, 2026 Payroll",1060.61,Debit,210,Operations:Salaries and benefits:Benefits,1,General operating fund
9008,2686,2026-02-28,CAD,"February 28, 2026 Payroll",0,7,"February 28, 2026 Payroll",2018.18,Debit,210,Operations:Salaries and benefits:Benefits,1,General operating fund
