Account,Debit,Credit
10005 Cash and cash equivalents:TD Canada Trust - Operating,1208537.56,
10006 Cash and cash equivalents:TD Canada Trust - Lottery Account,6633.86,
10010 Cash and cash equivalents:Affinity Credit Union,609.19,
10015 Cash and cash equivalents:Deposit Clearing,1500.00,
10030 Cash and cash equivalents:Petty Cash,61.00,
10040 Cash and cash equivalents:Float Financial,,15217.05
10050 Cash and cash equivalents:Float Financial:Float Clearing - Float Cash,11.41,
Accounts Receivable,7600.00,
11000 Short term Investments,466803.38,
12500 Investment in 211 Saskatchewan,0.00,
15000 Prepaid Expense,12313.58,
12100 Other current receivables:GST Receivable,5513.46,
12201 Other current receivables:Accounts Receivable - Credit Card,,2735.93
12202 Other current receivables:Accounts Receivable - Other,803.65,
12205 Other current receivables:Employee Personal Expense (Reimbursable to UW),13.31,
12300 Other current receivables:Interest Accrued,10953.96,
12009 Pledges receivable:Prior Year 2 Pledges Receivable,103559.72,
12010 Pledges receivable:Prior Year 1 Pledges Receivable,94733.64,
12011 Pledges receivable:Current Year Pledges Receivable,932514.13,
12040 Pledges receivable:Prior Year 2 Prince Albert PldgRec,7738.96,
12041 Pledges receivable:Prior Year 1 Prince Albert PldgRec,1220.38,
12042 Pledges receivable:Current Year Prince Albert PldgRec,0.00,
12070 Pledges receivable:Allowance for Doubtful Accounts,,159125.00
16100 Capital assets:Equipment - Office,64192.63,
16200 Capital assets:Equipment - Computer Hardware,91645.78,
16300 Capital assets:Equipment - Computer Software,165172.15,
16500 Capital assets:Leasehold Improvements,32745.34,
17150 Capital assets:Accum Dep - Office Equipment,,53818.74
17250 Capital assets:Accum Dep - Computer Hardware,,80760.08
17350 Capital assets:Accum Dep - Computer Software,,113609.65
17550 Capital assets:Accum Dep - Leasehold Improvements,,32745.34
Accounts Payable,,8636.73
20015 TD Visa Payable,,0.00
TD Credit Card - Sheri,,0.00
20006 Accrued liabilities:Accounts Payable - Other,,62962.19
20007 Accrued liabilities:Accounts Payable - CCC Designations,,680.00
20010 Accrued liabilities:PST Payable,,0.00
20060 Accrued liabilities:Cash - Staff Fund,,3886.01
21000 Allocations to funded agencies:Allocations to Agencies,,52000.00
22010 Deferred revenue:Def. Rev. Donor Dir. Giving 2025,,120899.95
22015 Deferred revenue:Def. Rev. Donor Dir. Giving 2022,,0.00
22020 Deferred revenue:Def. Rev. Donor Dir. Giving 2023,,6210.85
22025 Deferred revenue:Def. Rev. Donor Dir. Giving 2024,,109774.00
23029 Deferred revenue:Deferred Revenue - general,,134072.67
GST/HST Payable,7294.45,
29930 Net assets:Capital Replacement Reserve,,212652.49
29950 Net assets:Community Investment Reserve,,1227380.52
Retained Earnings,,570297.44
30010 Contributions and pledges:Campaign Pledges,,1038790.88
30015 Contributions and pledges:Campaign Cash,,1316395.02
30020 Contributions and pledges:Contributions from PY via don des,,62750.00
32000 Contributions and pledges:Major Gifts,,129205.87
30011 Funds transferred from other United Way organizations:Funds Transferred from Other UWs,,166771.23
32100 Grants:Other Grants,,210000.00
33200 Interest income:Interest Revenue,,43123.87
33810 Other income:Residential School Survivors Circle,,32351.97
33900 Other income:Miscellaneous Revenue,,9354.34
33935 Other income:IRCC Government Funding,,102167.00
31900 Provision for uncollectible pledges:Provision for Uncollectable Pledges,75.00,
31790 Special events revenue:Revenue - Period Promise,,6858.46
31795 Special events revenue:Revenue - 50/50 Lotto,,14272.00
70100 Community Investment:211 Saskatchewan expenses:211 Saskatchewan,60907.00,
40305 Community Investment:Allocation to agencies:Community Initiatives Funding,525000.00,
74405 Community Investment:Allocation to agencies:Journey Home,230000.00,
70200 Community Investment:Community building initiatives:Other Partnership/Community Buildng,1539.63,
70225 Community Investment:Community building initiatives:Leadership training and workshops,298.37,
70230 Community Investment:Community building initiatives:Community Dvlpmnt - Emerging issues,3693.81,
70240 Community Investment:Community building initiatives:Day of Caring,3825.81,
70250 Community Investment:Community building initiatives:SPRP Partnership,10000.00,
73005 Community Investment:Community building initiatives:Consultant Fees SRIC Coord. Sal.,16662.50,
72000 Community Investment:Community building initiatives:Capacity building expenses:Capacity Building Expense,250.00,
75100 Community Investment:Community building initiatives:Capacity building expenses:UnitedWay Canada NationalConference,1509.73,
40205 Community Investment:Donor directed giving - net:Donor Directed Giving,217462.83,
70275 Community Investment:Summer Success Literacy Program:Summer Success,96861.91,
Community Investment:Survivor's Circle projects,1076.96,
72034 Community Investment:Survivor's Circle projects:Residential School Survivors Circle 1,32934.68,
51900 Operations:Amortization expense:Amortization,19349.86,
50100 Operations:Board and governance:Annual Meeting,1061.33,
50105 Operations:Board and governance:Other Board & Governance Expenses,33582.80,
50800 Operations:Meetings and travel:Mileage & Parking,14418.59,
50850 Operations:Meetings and travel:Transportation,1032.69,
50900 Operations:Meetings and travel:Conferences,15236.28,
51400 Operations:Meetings and travel:Community Relations,5813.31,
51850 Operations:Meetings and travel:Meals and Entertainment - Promotion,3252.25,
51860 Operations:Meetings and travel:Meals (food) and Entertainment,5273.97,
51870 Operations:Meetings and travel:Entertainment / Event Activities,760.29,
51880 Operations:Meetings and travel:Cultural Gifts & Protocol (tobacco / elders / etc.),99.15,
50500 Operations:Occupancy:Insurance,10376.34,
50600 Operations:Occupancy:Maintenance/Occupancy Costs,1981.60,
51500 Operations:Occupancy:Rent,74095.41,
51800 Operations:Occupancy:Telephone & Fax,12640.61,
Operations:Office equipment and supplies,166.38,
50300 Operations:Office equipment and supplies:Equipment Leasing/Rental,1907.92,
50401 Operations:Office equipment and supplies:Monthly Computer Support Fee - WBM,30766.52,
50404 Operations:Office equipment and supplies:CRM Yearly Operating Fees,66858.88,
50420 Operations:Office equipment and supplies:Accounting Software,329.35,
50430 Operations:Office equipment and supplies:Small Equipment,1834.68,
